Age,Gender,Annual Income,Spending Score,Potensial
29,0,146,82,0
83,0,148,71,0
26,0,111,96,0
79,0,27,48,0
49,0,198,33,0
19,1,55,32,0
48,1,93,70,0
22,0,41,40,0
54,0,88,40,0
83,0,166,52,0
60,0,167,34,0
78,1,91,77,0
33,1,36,73,0
27,1,41,50,1
33,1,120,51,0
55,0,74,13,0
46,1,181,64,0
87,1,47,76,0
79,0,83,73,0
19,1,166,44,0
22,1,100,51,0
31,0,84,8,0
84,0,155,80,0
27,0,56,100,0
20,0,112,39,0
36,0,191,99,0
77,1,95,92,0
67,1,63,26,1
26,0,83,4,0
34,1,135,27,0
40,0,44,70,0
41,0,33,95,0
57,0,100,18,0
35,1,29,18,0
85,1,142,11,0
63,1,112,91,0
35,0,33,15,0
77,0,157,57,0
25,0,72,39,0
28,0,194,19,0
31,0,86,28,0
85,1,130,37,0
90,0,42,94,0
28,0,160,71,0
70,0,46,54,0
46,0,74,48,1
71,0,190,75,0
81,1,125,24,0
35,0,84,53,0
37,0,135,6,0
71,0,186,6,0
50,0,141,83,0
65,0,177,100,0
83,0,151,88,0
39,1,33,2,0
32,1,163,64,0
26,0,40,23,1
24,0,184,21,0
65,1,45,36,0
36,1,120,52,1
41,1,114,54,1
83,1,194,55,0
61,1,60,36,0
84,1,144,1,0
33,1,110,49,0
89,1,88,50,0
35,1,183,68,0
89,1,91,59,0
40,0,181,23,0
69,1,58,35,0
88,1,173,69,0
34,1,39,84,0
88,0,80,9,0
61,1,24,59,0
60,1,190,98,0
78,1,23,91,0
35,1,77,29,0
53,0,170,28,0
33,0,99,64,0
86,0,175,71,0
90,1,118,85,0
84,0,74,54,0
54,1,103,49,0
20,0,189,21,0
86,1,28,37,0
73,1,145,54,0
35,1,120,94,0
88,1,37,4,0
54,1,113,65,0
19,0,150,61,0
84,0,22,48,0
60,1,43,32,0
39,1,81,66,0
85,1,60,38,0
60,1,92,89,0
85,0,31,51,0
82,1,160,44,0
44,0,200,4,0
48,0,125,1,0
21,1,43,48,0
87,0,55,94,0
41,0,68,37,0
52,1,141,30,0
76,1,75,27,0
72,1,70,4,0
67,0,23,19,1
32,1,84,77,0
71,1,97,33,0
38,0,55,53,0
57,1,27,59,0
80,0,152,50,0
60,0,151,51,0
53,0,178,26,0
84,1,139,90,0
26,0,52,75,0
34,1,139,63,0
67,1,194,23,0
31,1,154,38,0
81,1,117,89,0
67,0,123,41,1
32,1,176,2,0
32,1,119,21,0
81,0,68,93,0
77,0,106,7,0
27,1,125,17,1
59,1,147,49,0
37,1,111,1,0
47,0,71,66,0
28,0,83,10,0
63,0,42,88,0
18,0,179,90,0
55,0,130,39,0
46,1,135,1,0
72,1,107,38,0
78,1,125,95,0
62,0,186,61,0
60,1,127,31,0
76,1,75,37,0
32,0,95,5,0
77,1,127,52,0
56,0,166,89,0
64,0,159,2,0
67,1,121,87,1
52,0,57,35,0
58,1,29,83,0
50,0,191,46,0
54,1,184,13,0
23,0,142,37,0
59,0,194,47,0
22,1,129,92,0
77,0,65,75,0
53,0,30,26,0
46,1,39,73,1
57,0,135,39,0
76,1,189,39,0
34,0,151,35,0
89,0,66,86,0
34,1,174,15,0
64,0,77,16,1
24,0,143,25,0
55,1,112,18,0
84,0,142,39,0
72,1,148,95,0
53,1,101,61,0
85,0,162,26,0
85,1,173,84,0
45,0,197,19,0
43,1,21,32,0
86,1,109,29,0
19,1,130,21,1
45,1,164,51,0
36,1,28,36,0
51,1,145,71,0
38,0,26,39,0
27,0,56,32,0
19,0,82,10,0
81,0,54,17,0
72,0,55,2,0
78,0,186,97,0
53,0,161,6,0
83,1,178,29,0
77,1,170,55,0
54,1,166,98,0
42,0,193,89,0
70,0,78,3,0
29,1,119,34,0
88,0,116,39,0
37,0,122,4,0
22,1,144,41,0
21,1,102,83,0
36,1,26,57,0
50,0,158,17,0
53,0,75,55,0
70,0,130,31,0
38,1,137,59,0
58,0,38,60,0
48,1,91,69,0
51,1,46,15,0
27,0,52,41,0
33,1,120,56,0
76,1,170,6,0
79,0,117,26,0
52,1,174,55,0
85,1,101,96,0
18,0,98,58,0
41,1,145,78,0
82,1,24,23,0
54,0,107,20,0
22,0,195,76,0
75,0,86,96,0
71,0,64,75,1
41,1,87,25,0
90,1,140,10,0
21,1,91,56,0
69,0,175,43,0
75,1,71,91,0
70,0,56,7,0
40,0,88,95,0
23,1,134,44,0
41,1,183,79,0
34,0,183,22,0
78,1,137,33,0
40,0,21,51,1
20,1,41,30,0
73,0,36,21,1
47,1,66,57,1
56,0,98,74,0
71,1,198,15,0
57,1,54,10,0
60,1,124,98,0
73,0,81,70,0
82,1,39,26,0
48,0,101,26,0
77,1,110,74,0
59,0,195,40,0
60,0,178,54,0
23,1,107,22,1
45,0,199,19,0
63,0,93,25,0
18,0,159,56,0
71,0,93,16,0
24,1,42,74,0
71,1,123,66,0
87,1,135,78,0
44,0,184,2,0
70,0,21,68,0
58,1,174,56,0
88,1,94,83,0
26,1,22,59,0
69,1,180,53,0
73,0,38,86,0
88,1,82,73,0
64,0,102,75,0
85,0,45,13,0
64,0,173,84,0
63,1,127,77,1
64,0,171,72,0
21,0,130,7,0
79,0,80,83,0
83,0,160,8,0
76,0,89,16,0
67,0,154,59,0
85,1,199,89,0
59,0,79,19,0
55,0,85,91,0
39,0,194,85,0
77,1,102,100,0
34,1,89,56,0
86,0,83,60,0
40,1,104,52,0
68,1,91,1,0
79,0,123,66,0
29,0,137,66,0
83,0,171,63,0
41,1,141,40,0
82,1,128,14,0
75,1,185,47,0
78,1,107,94,0
53,0,58,10,0
78,0,150,44,0
75,0,50,78,0
66,1,135,59,0
86,1,75,6,0
29,0,149,82,0
19,1,162,9,0
68,0,39,98,0
84,0,23,75,0
67,1,188,10,0
46,1,96,81,0
55,1,153,38,0
84,0,76,50,0
67,0,130,38,0
69,1,198,25,0
65,0,119,93,0
78,0,38,48,0
40,0,98,52,0
72,1,164,46,0
54,0,91,28,0
19,1,122,46,1
62,1,55,76,0
55,0,159,50,0
26,1,155,83,0
51,0,154,71,0
51,0,192,41,0
34,0,67,91,0
79,1,70,29,0
53,1,86,13,0
49,1,190,53,0
48,0,26,52,1
23,1,175,85,0
80,1,157,67,0
19,1,169,95,0
79,1,96,76,0
75,1,124,27,0
44,1,121,77,1
52,0,152,91,0
69,0,165,27,0
66,1,160,32,0
38,1,176,31,0
64,1,137,60,0
45,1,194,4,0
73,1,59,35,0
63,1,96,99,0
73,0,48,82,0
83,1,113,70,0
74,0,54,23,0
39,1,172,6,0
86,1,72,54,0
41,0,50,43,0
57,1,120,39,0
69,0,167,54,0
66,0,90,46,0
40,0,55,16,0
60,1,109,80,1
46,1,181,98,0
88,0,169,100,0
57,1,164,55,0
51,1,37,43,0
70,0,56,22,0
64,1,177,68,0
81,0,197,74,0
20,1,184,40,0
58,0,105,47,0
77,1,140,22,0
41,1,175,52,0
86,0,52,62,0
40,0,80,79,1
43,1,127,7,0
56,0,49,47,0
74,1,41,75,0
82,0,135,63,0
25,1,136,44,0
52,0,23,1,0
36,0,186,31,0
58,0,125,30,0
83,1,26,74,0
49,1,123,79,1
79,1,123,7,0
36,1,134,93,0
56,0,50,52,0
74,0,109,75,0
29,1,80,38,0
48,0,71,79,1
61,0,174,57,0
42,0,124,64,0
20,0,190,69,0
34,0,100,59,0
33,0,55,96,0
38,0,156,41,0
51,0,60,59,0
22,0,145,53,0
67,0,65,99,0
84,1,89,51,0
26,1,155,57,0
69,0,160,40,0
19,0,45,53,0
56,1,160,12,0
41,0,144,21,0
22,1,132,14,0
69,0,20,39,0
57,1,78,5,0
24,0,199,65,0
31,0,93,2,0
25,0,171,70,0
55,0,84,34,0
54,0,172,23,0
39,0,60,27,0
31,0,145,81,0
72,0,196,11,0
87,1,27,33,0
71,0,169,99,0
69,1,94,12,0
37,1,55,27,0
47,1,114,15,1
52,0,188,59,0
49,1,100,63,0
74,0,185,29,0
34,0,161,50,0
72,0,74,65,0
36,1,139,65,0
28,0,145,88,0
90,1,115,2,0
47,0,87,24,0
86,0,61,7,0
73,1,125,15,0
55,1,84,85,0
67,0,61,59,0
78,0,20,44,0
64,0,109,63,0
43,1,133,36,0
83,1,104,1,0
34,0,125,85,0
77,1,32,63,0
59,0,111,52,0
72,1,39,31,0
57,0,64,57,0
71,0,194,63,0
31,0,31,48,0
81,1,73,24,0
82,0,117,58,0
41,0,114,14,1
58,1,127,34,0
72,1,161,97,0
80,0,96,47,0
23,1,74,98,0
83,1,164,18,0
35,1,196,71,0
67,0,122,19,1
29,1,98,38,0
66,1,140,44,0
33,1,183,84,0
87,0,140,44,0
72,1,39,87,0
61,0,195,66,0
63,0,171,73,0
69,1,78,41,0
31,0,153,58,0
27,1,131,99,0
22,0,76,13,1
38,1,184,71,0
83,1,31,58,0
50,0,91,27,0
38,1,66,61,0
75,0,129,21,0
70,1,91,11,0
85,1,153,31,0
87,1,153,70,0
57,0,32,43,0
36,1,97,80,0
54,0,175,37,0
43,1,57,81,1
87,1,25,70,0
39,1,47,26,0
74,0,134,26,0
45,1,72,21,1
26,1,159,77,0
44,0,163,79,0
21,0,145,36,0
31,1,144,81,0
82,0,110,16,0
22,0,100,28,0
53,0,72,100,0
69,0,193,71,0
30,1,196,9,0
64,1,184,18,0
82,1,195,74,0
57,1,167,32,0
22,1,140,51,0
56,0,98,53,0
90,1,199,11,0
34,1,58,62,0
41,0,95,78,0
21,1,146,85,0
21,0,64,88,0
47,0,40,10,0
87,0,143,72,0
86,0,183,24,0
71,1,74,26,1
20,0,150,99,0
33,0,140,8,0
64,0,196,83,0
84,0,197,86,0
66,0,153,46,0
21,1,66,71,0
71,1,69,7,0
48,0,34,72,1
69,1,140,31,0
42,1,50,98,0
62,0,181,48,0
50,1,76,44,1
82,0,168,92,0
84,0,90,96,0
34,1,68,9,0
54,1,39,91,0
37,1,63,78,1
90,0,133,62,0
39,0,190,50,0
87,1,132,6,0
39,0,119,38,0
80,1,49,31,0
68,1,141,51,0
66,1,113,73,1
85,0,129,61,0
37,0,196,55,0
53,1,127,8,0
57,0,104,14,0
89,0,62,22,0
63,0,89,26,0
37,1,180,88,0
58,0,167,29,0
62,1,151,36,0
81,1,103,6,0
89,1,134,2,0
19,0,144,36,0
39,0,195,46,0
42,1,192,89,0
58,0,100,11,0
72,0,97,89,0
24,0,180,17,0
90,1,39,64,0
25,1,143,45,0
84,0,95,78,0
52,1,25,41,0
66,1,67,81,1
55,0,181,58,0
30,1,98,99,0
79,0,152,95,0
75,0,87,9,0
28,1,71,59,1
88,0,39,67,0
42,1,40,53,1
48,0,71,1,0
64,0,146,16,0
44,1,34,57,1
39,0,34,11,0
32,1,46,4,0
80,1,137,85,0
34,1,47,2,0
70,0,180,41,0
83,0,181,80,0
31,1,197,72,0
18,0,132,87,0
86,0,68,32,0
82,0,100,77,0
86,0,97,35,0
34,1,52,82,0
46,1,129,22,1
54,1,113,97,0
85,1,49,15,0
49,0,88,96,0
73,1,190,63,0
60,1,174,20,0
62,0,154,17,0
21,0,33,93,0
65,0,163,64,0
83,0,75,82,0
42,1,28,7,0
90,0,163,4,0
78,1,46,72,0
61,1,159,70,0
64,1,166,55,0
18,0,154,30,0
35,1,77,71,0
18,1,33,2,0
83,1,119,21,0
58,0,31,37,0
20,1,46,88,0
78,0,160,80,0
71,0,129,61,0
54,0,112,44,0
29,1,86,9,0
48,1,162,67,0
36,1,130,72,0
54,1,185,38,0
67,0,114,5,0
19,0,121,56,1
35,0,182,42,0
27,0,60,34,0
18,0,123,85,1
63,0,114,99,0
71,1,148,83,0
29,0,30,79,1
47,1,131,49,1
89,0,176,34,0
66,0,49,54,0
46,1,187,81,0
89,0,66,49,0
34,1,30,78,0
43,1,86,81,0
64,1,82,73,0
71,0,154,32,0
42,1,90,47,0
33,1,170,3,0
24,0,150,24,0
85,0,75,14,0
26,1,58,78,1
65,1,183,82,0
86,1,197,62,0
69,1,65,84,1
23,0,95,66,0
35,0,94,74,0
45,1,195,22,0
70,1,161,45,0
62,1,151,74,0
57,1,87,99,0
52,1,197,64,0
50,0,165,73,0
35,1,87,74,0
67,1,143,12,0
20,1,57,66,0
23,1,36,26,1
68,1,130,70,0
31,0,166,39,0
40,1,97,51,0
74,0,161,5,0
34,1,56,9,0
41,1,159,18,0
66,1,181,79,0
32,1,24,19,0
85,0,103,34,0
42,1,50,13,0
90,0,154,36,0
71,1,95,36,0
84,1,33,68,0
87,0,144,83,0
76,1,99,84,0
52,1,49,100,0
23,1,84,17,0
80,1,81,8,0
84,1,72,89,0
55,1,135,12,0
79,0,94,33,0
70,0,198,85,0
53,1,146,68,0
31,0,178,20,0
64,0,171,24,0
58,0,166,39,0
48,0,55,99,0
65,1,112,58,1
62,0,75,94,0
20,0,57,4,0
33,1,99,82,0
46,0,115,75,1
41,1,199,9,0
68,0,140,60,0
49,1,65,3,0
86,1,155,87,0
70,1,135,60,0
55,0,169,82,0
64,1,49,70,0
88,0,60,53,0
39,1,111,85,0
58,1,116,38,0
49,0,195,99,0
20,1,188,13,0
31,1,41,100,0
46,1,172,78,0
88,0,122,65,0
25,1,127,83,1
87,1,179,27,0
78,0,133,19,0
50,1,57,72,0
55,1,190,97,0
85,1,134,1,0
41,0,93,8,0
31,0,153,44,0
43,0,145,17,0
83,0,133,7,0
69,1,169,10,0
45,1,72,45,1
36,0,135,100,0
80,0,191,21,0
59,1,169,89,0
34,0,179,93,0
23,0,188,53,0
19,1,106,47,0
61,0,119,78,1
86,0,100,41,0
21,1,179,16,0
80,1,102,81,0
83,1,39,21,0
32,0,63,17,0
36,1,66,37,0
67,0,111,22,1
76,0,93,65,0
47,0,185,68,0
37,1,69,48,1
69,1,132,34,0
64,1,144,85,0
24,1,131,92,0
66,1,34,7,0
42,0,171,75,0
72,0,188,3,0
51,0,157,29,0
47,0,106,82,0
20,1,72,32,0
42,1,99,51,0
46,0,68,72,1
82,0,139,41,0
27,1,167,65,0
28,1,31,4,0
73,1,118,23,1
67,0,27,71,1
44,1,162,35,0
55,0,125,58,0
59,1,188,33,0
36,1,154,63,0
51,0,178,34,0
72,1,90,43,0
49,1,82,85,0
60,1,68,12,1
77,0,56,76,0
74,0,22,98,0
65,1,180,67,0
37,0,115,67,0
40,1,179,65,0
62,1,122,41,1
57,1,41,23,0
20,1,168,19,0
32,0,122,40,0
60,1,36,58,0
87,0,105,94,0
26,1,38,31,0
44,0,174,91,0
26,0,187,42,0
80,1,74,40,0
63,1,150,13,0
71,0,115,77,1
63,1,78,34,0
28,0,80,38,0
55,0,53,29,0
87,0,56,84,0
36,1,40,49,0
19,0,154,6,0
52,0,117,29,0
38,0,77,80,1
24,1,159,79,0
72,1,120,81,1
63,0,102,19,0
37,1,175,73,0
38,0,191,38,0
71,0,84,27,0
39,0,163,89,0
80,0,33,63,0
80,0,81,75,0
51,1,184,18,0
33,1,164,37,0
87,0,75,83,0
50,0,68,79,1
83,0,72,10,0
71,0,109,31,0
19,0,59,23,0
85,1,126,72,0
62,1,32,1,0
89,0,178,62,0
90,0,85,83,0
90,0,140,79,0
57,1,38,4,0
40,1,20,23,1
47,0,162,86,0
36,1,200,38,0
79,1,109,26,0
71,0,153,11,0
26,0,142,84,0
28,0,76,96,0
90,1,141,45,0
36,0,162,9,0
55,1,191,22,0
40,1,44,17,0
67,0,48,34,0
45,1,95,7,0
83,1,126,12,0
66,0,55,98,0
59,1,63,79,0
67,0,170,51,0
41,0,80,57,0
81,1,162,50,0
80,0,80,35,0
39,0,169,91,0
75,1,97,78,0
71,0,47,27,0
90,1,48,87,0
83,0,123,97,0
44,1,56,98,0
78,0,120,34,0
66,0,46,1,0
41,0,162,7,0
64,1,190,84,0
46,0,108,5,0
44,1,40,47,1
27,0,42,53,1
53,1,137,21,0
46,0,63,15,1
59,0,135,49,0
29,1,35,26,1
69,1,162,45,0
83,0,152,78,0
32,0,36,27,0
75,0,65,50,0
36,0,141,9,0
69,1,44,31,0
28,1,136,63,0
31,0,161,11,0
35,0,131,27,0
41,0,59,74,0
66,0,121,27,1
89,1,163,75,0
47,1,77,63,0
43,0,59,57,0
49,0,93,73,0
25,0,113,1,0
24,1,52,31,0
37,0,157,7,0
75,1,111,73,0
58,0,50,81,0
74,1,78,81,0
51,1,33,58,0
68,0,46,20,0
58,1,148,51,0
76,0,103,27,0
39,0,166,34,0
86,0,120,94,0
86,1,193,27,0
82,1,48,25,0
74,0,28,51,1
33,0,65,45,0
43,0,76,71,0
30,0,28,79,0
36,1,145,65,0
63,1,117,17,1
22,0,53,82,0
44,1,100,13,0
60,1,176,7,0
41,0,188,18,0
88,0,127,84,0
73,1,178,75,0
84,0,37,35,0
76,1,125,9,0
28,1,127,34,0
54,0,172,85,0
45,0,49,79,0
56,1,86,91,0
64,0,131,65,0
18,1,88,82,0
45,0,169,37,0
69,1,112,59,0
77,0,57,78,0
32,0,147,21,0
41,1,119,25,1
79,0,102,50,0
83,1,62,1,0
53,1,79,4,0
69,1,30,11,0
61,0,136,89,0
79,0,105,48,0
78,0,136,86,0
85,1,63,7,0
65,1,188,28,0
39,0,197,78,0
33,0,139,7,0
55,1,130,76,0
59,1,25,76,0
41,0,192,68,0
79,1,100,18,0
63,0,135,66,0
46,0,134,94,0
78,1,186,60,0
69,1,157,88,0
82,1,137,41,0
31,0,124,60,0
90,0,192,59,0
48,1,45,84,0
83,1,151,71,0
57,1,74,51,0
43,0,177,14,0
65,0,130,37,0
36,0,46,2,0
36,0,109,70,0
20,1,148,90,0
21,1,83,96,0
56,0,180,2,0
38,1,100,99,0
70,0,142,82,0
49,0,136,98,0
82,0,94,88,0
21,0,121,37,0
20,0,149,1,0
41,0,160,90,0
77,0,59,78,0
30,1,77,97,0
27,0,56,32,0
60,0,130,98,0
80,0,94,45,0
44,1,157,77,0
47,0,161,77,0
37,0,143,3,0
39,0,83,77,0
69,0,82,69,0
41,1,74,74,1
61,0,32,51,1
21,1,44,41,0
77,1,129,13,0
21,1,142,59,0
45,1,98,33,0
90,0,30,81,0
81,1,110,38,0
64,0,189,31,0
66,1,119,14,1
75,0,130,64,0
77,0,96,61,0
77,0,192,22,0
30,1,33,57,0
69,1,83,95,0
29,1,192,88,0
59,0,143,51,0
72,0,46,74,0
27,0,122,24,1
80,1,24,1,0
50,0,110,78,1
25,1,200,37,0
33,0,82,53,0
20,1,61,16,1
19,0,37,59,0
79,0,190,81,0
41,0,40,87,0
78,1,99,19,0
61,0,193,39,0
31,0,170,86,0
48,0,86,29,0
48,0,31,47,1
38,1,85,61,0
43,1,92,25,0
61,0,171,29,0
28,0,123,98,0
64,0,32,29,1
70,1,154,31,0
76,0,58,28,0
52,0,26,90,0
44,0,182,32,0
83,1,186,72,0
51,1,182,45,0
87,1,48,46,0
75,1,31,95,0
46,0,98,84,0
22,1,81,81,1
24,0,155,64,0
47,0,88,17,0
59,0,72,51,0
46,0,84,64,0
44,1,28,95,0
81,1,118,39,0
58,0,57,13,0
66,1,26,74,1
66,0,37,59,0
59,1,73,59,0
28,1,89,64,0
50,0,49,28,0
81,0,95,41,0
27,1,178,46,0
63,0,80,97,0
56,1,172,59,0
30,1,187,23,0
38,0,150,77,0
61,1,62,90,0
42,0,51,76,0
23,1,191,89,0
18,1,170,50,0
23,0,42,56,0
90,1,154,94,0
41,1,161,23,0
64,0,181,82,0
46,1,31,97,0
60,1,101,54,0
74,0,199,31,0
35,0,112,99,0
79,0,168,52,0
84,1,142,10,0
89,1,141,12,0
86,0,119,28,0
72,1,47,56,0
85,1,109,2,0
81,1,122,56,0
38,1,194,66,0
33,1,167,88,0
73,1,55,27,0
37,0,186,5,0
18,1,97,48,0
48,1,98,35,0
58,0,154,32,0
32,1,111,32,0
51,1,34,3,0
86,0,115,51,0
60,1,184,34,0
62,1,24,7,0
90,1,153,81,0
45,1,48,54,0
29,1,187,16,0
51,0,188,4,0
71,0,144,38,0
70,1,125,46,1
89,0,60,13,0
77,0,198,6,0
56,1,159,6,0
78,0,83,22,0
88,1,78,18,0
64,0,49,56,0
41,1,87,71,0
28,1,21,20,1
19,0,113,97,0
50,1,173,59,0
22,1,92,49,0
26,0,58,80,1
63,1,142,28,0
77,1,156,47,0
60,0,138,99,0
65,0,119,97,0
79,1,62,55,0
40,0,41,7,0
47,0,128,87,1
45,0,91,59,0
21,0,125,19,1
55,0,194,56,0
56,1,73,89,0
39,0,56,44,0
50,0,49,74,0
36,1,131,4,0
87,1,182,14,0
70,0,52,94,0
38,0,93,96,0
85,0,50,56,0
85,1,101,65,0
55,0,184,47,0
75,1,143,45,0
45,1,21,8,0
52,0,44,4,0
32,0,115,87,0
65,0,164,78,0
63,1,121,9,0
22,0,187,6,0
65,1,40,52,1
62,1,97,5,0
79,0,83,13,0
23,0,37,97,0
34,1,149,11,0
29,1,170,5,0
22,0,67,13,1
84,0,87,34,0
20,0,74,96,0
51,1,29,9,0
40,0,173,68,0
88,0,118,46,0
51,0,69,21,1
54,1,21,7,0
46,0,69,20,1
26,1,59,94,0
54,1,24,53,0
55,0,172,98,0
84,0,165,76,0
18,0,34,13,0
41,0,119,36,0
56,0,124,54,0
78,1,46,59,0
70,1,68,3,0
82,0,63,19,0
89,1,35,13,0
42,0,90,57,0
23,0,159,70,0
33,0,140,75,0
60,0,173,79,0
80,0,131,52,0
20,0,44,86,0
44,0,130,5,0
45,1,104,47,0
50,0,75,29,0
20,0,196,98,0
22,1,53,85,0
54,0,180,41,0
64,0,123,28,1
51,0,71,76,1
59,0,152,21,0
72,0,190,59,0
79,1,141,59,0
84,1,80,25,0
69,1,184,37,0
39,1,168,17,0
63,1,39,54,1
70,1,90,25,0
43,0,36,39,0
49,1,103,32,0
74,0,137,14,0
83,0,198,38,0
37,0,184,28,0
64,0,87,27,0
45,0,61,29,0
31,0,198,34,0
20,1,149,82,0
72,1,174,13,0
30,0,46,91,0
29,0,41,20,1
57,0,151,72,0
62,1,47,46,0
39,1,144,78,0
69,0,69,65,0
89,0,96,54,0
65,1,107,59,0
47,1,149,10,0
37,1,144,96,0
82,1,193,39,0
44,1,32,51,1
76,0,24,38,0
42,1,32,33,0
19,0,85,83,0
57,0,112,71,0
56,0,137,59,0
60,1,56,28,0
90,0,40,35,0
76,1,100,30,0
30,0,50,15,0
71,1,154,91,0
25,0,121,50,1
74,1,129,63,0
41,1,173,73,0
87,0,148,71,0
19,1,175,66,0
35,1,74,55,0
78,1,56,26,0
70,0,30,65,0
37,0,109,11,0
82,1,29,91,0
80,1,80,57,0
80,1,41,17,0
73,0,65,2,0
39,0,58,85,0
35,1,149,2,0
72,0,80,35,0
51,0,65,89,0
79,1,20,82,0
78,1,60,74,0
70,1,26,20,1
62,1,124,41,0
72,0,21,51,1
33,1,57,39,0
77,0,165,73,0
69,0,153,11,0
21,0,29,23,1
27,0,182,9,0
31,1,98,41,0
39,1,117,74,1
28,1,124,60,0
88,1,122,14,0
33,0,119,57,0
82,0,157,49,0
80,1,188,20,0
89,0,68,18,0
65,0,94,27,0
82,0,69,54,0
18,1,145,33,0
81,1,36,89,0
53,0,39,42,0
23,1,92,38,0
52,0,69,16,1
90,0,180,65,0
71,0,153,1,0
57,1,71,42,0
67,1,185,68,0
78,1,120,93,0
29,0,45,65,0
78,1,147,6,0
21,0,87,87,0
20,0,46,67,0
45,1,65,95,0
57,0,80,54,0
89,0,113,80,0
32,0,90,71,0
81,1,23,10,0
63,0,78,9,0
60,0,32,98,0
88,0,94,40,0
54,0,46,39,0
87,0,56,20,0
32,0,58,85,0
24,1,64,5,0
47,0,50,52,0
56,1,88,83,0
55,1,88,50,0
88,1,70,93,0
75,0,147,24,0
54,1,86,94,0
67,1,104,53,0
80,0,198,28,0
34,1,104,65,0
85,0,134,46,0
34,0,82,48,0
45,1,195,23,0
90,1,147,33,0
20,1,124,27,1
41,1,84,98,0
39,1,102,11,0
76,0,182,22,0
21,0,37,9,0
49,0,198,84,0
71,0,134,70,0
56,1,166,76,0
44,0,23,44,1
50,0,193,63,0
27,1,105,81,0
50,0,155,93,0
41,0,154,92,0
40,0,50,77,0
63,0,66,14,1
23,0,198,70,0
76,0,147,98,0
79,0,85,20,0
50,0,181,59,0
37,0,121,82,1
27,1,165,32,0
53,1,66,5,0
27,0,63,51,1
82,0,71,38,0
57,1,173,64,0
44,0,129,16,1
50,1,80,47,1
86,1,51,67,0
89,1,131,23,0
25,0,86,84,0
31,0,31,64,0
70,0,109,5,0
62,1,97,27,0
80,0,37,31,0
43,0,190,58,0
56,1,171,37,0
40,0,137,78,0
70,0,122,87,1
